Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng),DNA source,DNA destination,L3K/OM MM destination,Plate destination,Diluted source,Transfection type
ANDgate,X1,CasE,50,100,A1.1,A6.1,B4.1,A1.1,,Single
ANDgate,X2,Csy4,50,100,A2.1,B1.1,B5.1,A1.1,,Single
ANDgate,Output,CasE_rec_Csy4_rec_mKO2,50,200,A3.1,B2.1,B6.1,A1.1,,Single
ANDgate,Control,eBFP2,50,100,A4.1,B3.1,C1.1,A1.1,,Co
ANDgate,Control,mNeonGreen,50,150,A5.1,B3.1,C1.1,A1.1,,Co
